collocate,raw_frequency,MI
deliberately,281,2.1139530427621924
objects,413,1.7288601191349056
state,2534,0.32021845932301846
nerves,481,1.5764404419901772
noticing,147,2.068727944757257
interfere,304,2.035280010689717
language,931,0.22290125425892598
submit,247,2.2429193754679613
thrown,1059,0.09408018593458674
excitedly,68,3.938265115027996
provoke,73,2.768701090387602
misled,74,3.4482426188917685
medicine,293,1.3789879225189257
hurrying,271,1.4570417106562923
resembled,170,2.6165092750456767
luck,738,0.4552167069355206
preacher,190,1.8121364593755067
creatures,627,0.6182139909030724
nose,1059,1.1926924746026963
painted,571,0.7117713218799829
appear,959,0.19326945665255482
jillgall,216,1.683882123851828
keen,691,0.5210207077683232
infuriated,31,3.6251733270508466
messieurs,24,3.8811067011880476
estimation,111,2.349630330223659
post,1132,0.027419272772864725
form,1951,0.17621037147282723
effect,1758,-0.41277154670912936
object,1595,0.7831438049851579
remains,392,1.0878986917455304
hateful,191,1.8068871034893632
miserly,28,3.726956021360789
cure,284,1.410186293374787
tongue,1059,0.09408018593458674
afterward,221,1.6609978300182404
declaring,151,2.0418806947210686
cometh,108,2.3770293044117734
iron,1073,0.7740939694652399
whatso,23,3.9236663156068436
craveth,3,5.960548242867883
spake,536,1.4681735510251364
wood,2077,2.6785772456813626
gold,1781,1.1836681606804318
mane,249,2.234854815631231
thou,5107,0.6002346465681851
fareth,10,4.756575438541947
alderman,194,2.4844495530326105
sooth,152,2.728427191249662
heat,481,1.5764404419901772
stone,1890,0.9011227846021956
brake,66,2.8695057895095677
offer,1288,-0.10168537512830582
meseems,20,4.063428257982002
tales,317,1.3002587576587126
hauberk,32,3.5934246287362663
oath,321,1.2877194084059773
forged,33,4.255800150629458
minded,502,0.8405604118442639
facing,291,1.3858372643645005
thence,352,1.8886765364978413
dallach,79,2.689712679068972
yea,469,2.0071700517578233
folk,1440,0.47990931952589205
unto,506,1.9312361509166374
meseemeth,80,3.3702810774220566
fashioning,9,4.861935954199773
gift,571,1.8103836105480926
laden,147,2.068727944757257
warrior,212,1.7025742568639806
bungalow,24,3.8811067011880476
gasped,237,2.284247570960807
mary,3482,-0.40305440823219607
rarely,411,1.0405673170397585
mun,121,2.263369985939252
bad,2949,-0.930060877279283
inches,162,1.971564196303609
taller,126,2.222878624584515
adoption,29,3.691864701549519
sea,2373,0.38586256376833905
settle,593,0.6739661325382676
spy,261,1.4946401242132996
fainted,112,3.4392739489090083
flies,210,1.7120530008185244
beget,22,3.9681180781776773
guide,437,2.0778396251085125
groby,166,1.9471727431794499
coach,698,1.2040886093335659
josser,2,6.366013350976048
tietjens,148,2.0619482577718777
swearing,134,2.1613207315850818
accident,591,0.6773445141298949
probably,1721,0.9947940964443442
committed,377,1.8200625246479276
mark,1249,1.3153563825303058
questioning,187,2.521199095241352
actions,273,1.4496887363510331
shake,743,1.1416116673781793
influence,1219,1.562812314488822
darker,179,1.8717747256952382
whichever,50,3.147137526107847
eldest,327,1.2692003606387396
oldest,172,3.0102783433906497
sylvia,1253,1.7176240458679797
date,469,0.9085577630897137
1918,5,5.449722619101893
44,6,5.267401062307938
changes,364,1.1620066638992523
forty,745,1.1389234937163788
dunce,31,3.6251733270508466
sit,2473,-0.06087955542547774
worst,1108,0.04884866422876396
suiciding,1,7.059160531535993
scalped,15,4.351110330433783
1812,8,4.979718989856157
fox,220,1.6655329851836316
suicided,1,7.059160531535993
christopher,396,1.0777463202815125
field,1050,0.10261508838442403
childhood,449,1.645284824353684
carter,77,2.715355109682309
shade,690,1.2156161145046331
consett,11,7.059160531535993
lobscheid,1,7.059160531535993
shadow,1409,0.9071373083054225
possible,2994,0.15340725522452922
suggesting,102,3.127334898811667
beaten,417,1.0260743097371916
lacking,83,2.640319923739395
masculinity,7,5.11325038248068
thinkable,6,5.267401062307938
quickset,6,5.267401062307938
cambridge,182,2.9537661331273073
insolvent,9,4.861935954199773
pendennis,957,0.8885043206429842
demeaned,11,4.661265258737623
ruin,562,1.8262709703104119
addresses,76,2.728427191249662
subjects,384,1.1085179789482664
valour,83,2.640319923739395
cistercians,4,5.6728661704161025
tremor,133,2.168811403314239
bread,1033,0.11893806241635457
foker,426,1.6978683658265679
indefatigable,46,3.2305191350468982
maintains,8,4.979718989856157
noble,1303,0.9853482430792576
laura,1874,1.132767981171726
trifled,37,3.4482426188917685
representative,167,1.941166719119238
toping,2,6.366013350976048
fotheringay,122,2.2551394868027366
oaks,109,2.3678126493068494
apothecary,58,2.998717520989574
glance,1424,0.4910826201240173
pacing,145,2.775573969675364
actress,212,2.395721437423926
tatham,29,3.691864701549519
costigan,273,1.4496887363510331
envelope,238,1.5868898578645183
represented,362,2.266128608378332
enclosure,89,2.5705241618038532
respecting,219,1.6700888017194921
extravagance,142,2.7964806544946774
horrid,379,1.1216243264535666
exile,197,1.7759568027980046
calcutta,58,4.608155433423674
smuggler,17,4.225947187479777
patriarch,24,4.5742538817479925
barbarossa,4,5.6728661704161025
invention,124,2.2388789659309563
purer,66,2.8695057895095677
public,1892,0.20691796248411476
kingdom,215,2.78713479207644
mirabel,35,3.5038124700465794
gallypots,3,5.960548242867883
whilst,725,1.5716011653494282
popjoy,28,3.726956021360789
falconet,7,5.11325038248068
clavering,639,0.5992560771584582
mentioned,901,1.6419496350475458
snell,16,4.286571809296212
benevolent,177,1.8830107989621638
prevents,27,3.7633236655316638
bids,60,3.657963149873838
occasionally,508,1.5218262645174565
liberation,25,3.8402847066677923
safety,400,1.0676959844280112
chambers,450,1.643060129331573
attorney,129,2.199348127174321
havannahs,1,7.059160531535993
clerks,114,2.3229620831414977
paymaster,9,4.861935954199773
agree,525,0.7957622689443693
sneered,77,2.715355109682309
huxter,146,2.0755539098276565
demise,19,4.807868732929498
hobnell,25,3.8402847066677923
pulled,869,0.291817406270601
warn,315,1.9997350732703054
walter,504,1.9351965521327341
lorraine,31,3.6251733270508466
miles,1294,-0.10633294352485274
violent,556,1.431539417845356
unkind,206,1.731284362746412
moon,1229,0.6383516025299036
pocket,1728,-0.39555941782800796
signed,269,2.157596332494099
market,688,0.5253716936026495
pleading,163,1.9654103307292308
piteously,123,2.2469761761635754
pen,2458,-0.054795578030041724
betsy,121,2.263369985939252
matron,199,1.7658557068115006
holidays,163,1.9654103307292308
blanche,478,0.889549799044537
amory,240,2.6771338968621117
vats,7,5.11325038248068
broken,2047,-0.5649700541252964
hobson,13,4.494211174074456
implicate,6,5.267401062307938
divulge,18,4.168788773639829
beheld,513,0.8188846863652236
jump,309,1.3258192546382477
j,145,2.0824267891154187
sentimental,275,1.4423894338694219
counting,253,1.525771042808473
investment,55,3.051827346303522
kallikrates,111,3.4482426188917685
instructions,245,1.5579023209912661
leo,362,1.8606635002701672
egypt,110,2.3586801657435768
undying,31,3.6251733270508466
background,289,1.392733843423561
shalt,390,1.7861609729722463
adopted,295,2.0653323557561185
billali,147,2.761875125317202
emerge,36,3.475641593079883
drown,88,2.5818237170577865
yárab,2,6.366013350976048
forbid,225,2.336207309891518
cottage,897,1.6463990305970875
happens,335,1.938177180270872
nervous,683,1.2258128525251484
fleur,61,3.6414338479226274
fifty,1040,0.8053317199605202
concocting,11,4.661265258737623
term,225,1.643060129331573
throat,737,1.5551849280147663
bound,1601,-0.31922318146072165
relief,912,0.2435205414616618
dinny,617,1.3274386881905507
aunt,2690,0.7713019713742088
rise,918,0.23696314091550252
cheeks,1080,0.7675913919776731
corven,115,2.314228403172743
tailors,33,3.5626529700695126
generation,304,2.035280010689717
hate,1111,0.7392919224563084
pigsties,5,5.449722619101893
pat,90,2.559350861205728
gotten,118,2.288475907070328
couldn,1770,0.2735728865280636
adrian,553,1.4369497105736035
whisper,679,0.5385394039772969
catching,328,1.9592941037117946
agrees,33,3.5626529700695126
above,3316,-0.3542068041592472
ship,1117,0.04075873246679225
best,5676,0.8130537660544304
wottest,21,4.01463809381257
merchant,167,1.941166719119238
worshipped,121,2.263369985939252
fast,1358,1.2316865845372422
scrivener,18,4.168788773639829
golden,911,0.9377648148359801
wearing,415,1.0308820113052948
maid,1398,-0.18363739125776246
charteris,105,2.40520018137847
subordinate,75,2.7416724179996828
grumbled,102,2.434187718251722
nina,349,1.8972357898935113
modified,42,3.321490913252625
monsoon,8,4.979718989856157
crew,257,1.5100844466407732
lingard,48,3.187959520628102
almayer,468,1.6038394161782916
traditionless,1,7.059160531535993
tired,1513,1.3467487301817376
rajah,155,2.0157354146167465
independent,384,1.1085179789482664
absently,98,2.474193052865421
exasperated,77,3.4085022902422546
underwent,43,3.2979604158424305
prau,11,4.661265258737623
maroola,19,4.114721552369552
secured,273,2.1428359169109785
cheek,972,0.17980472707555412
terror,880,0.2792386240637409
putih,11,4.661265258737623
darter,4,5.6728661704161025
decease,40,3.3702810774220566
illustration,107,2.386331697074087
oats,79,2.689712679068972
sowed,22,3.9681180781776773
seniors,22,3.9681180781776773
hung,1514,0.42979727809854434
ensign,38,3.421574371809607
superintendence,33,3.5626529700695126
broadbent,25,3.8402847066677923
pedigree,76,2.728427191249662
nights,555,0.7401924177895587
warrington,1491,0.44510539733119986
elder,683,1.6312779606333128
coaxing,82,2.65244128427174
misbegotten,2,6.366013350976048
lambert,472,1.595328726510383
fashion,1187,-0.02002386307367487
hetty,992,1.7688753366852206
race,834,0.3329271291772464
drapers,4,5.6728661704161025
bernstein,293,1.3789879225189257
lords,351,1.1983743080701272
neighbours,429,0.9977036126079761
bless,946,1.8163558749182152
ordered,665,1.9456678520000297
theo,333,2.6373124026754398
ladies,2537,0.31903526060482085
patrimony,38,3.421574371809607
silent,2667,-0.8295489926460211
property,1075,1.6885225034083302
nephew,633,1.301837289951762
marquis,244,2.948286667362682
pompous,93,2.526561038382737
lamented,76,3.827039479917772
indignation,469,0.9085577630897137
adds,80,3.3702810774220566
otherwise,1118,0.039863877820948655
calculation,102,2.434187718251722
darling,1406,1.6024159283934378
canada,112,2.3406616602408983
sentiments,254,1.5218262645174565
parson,1024,0.12768872593653993
folks,645,0.5899102147402205
require,371,1.142958468928558
relent,33,3.5626529700695126
simple,1688,1.237298768814191
scared,226,1.6386255322637073
groans,68,2.8396528263598864
